id,name,area,salary,created_at,alternate_url,employer,professional_roles,experience,employment,requirement,responsibility
100664604,Менеджер по оптовым продажам (стройматериалы),Барнаул,62350.0,2024-06-03T03:51:31+0300,https://hh.ru/vacancy/100664604,МСВ,"Менеджер по продажам, менеджер по работе с клиентами",От 1 года до 3 лет,Полная занятость,"Образование Высшее, преимущество: техническое (инженерное), экономическое. Опыт работы в продажах от 1 года, строительный сегмент (как преимущество). Уверенное владение стандартными...","Продажа строительных материалов (фирма ""ТехноНИКОЛЬ"", ""Эковер"", ""Кнауф""). Активный поиск клиентов. Ведение переговоров на уровне первых лиц. Контроль поставок, дебиторской задолженности..."
91506089,Бизнес-аналитик,Барнаул,50000.0,2024-06-01T06:03:33+0300,https://hh.ru/vacancy/91506089,Информационные системы и сервисы,Бизнес-аналитик,Нет опыта,Полная занятость,"Уверенные знания персональных компьютеров, офисного программного обеспечения. Опыт написания технической документации. Усидчивость. Ответственность. Готовность разбираться в сложных задачах. Настойчивость.",Помогать пользователям наших информационных систем. Настраивать информационные системы. Тестировать созданные информационные системы и модули. Анализировать бизнес-требования и бизнес-процессы...
98951781,Ручной тестировщик,Барнаул,,2024-05-14T17:21:51+0300,https://hh.ru/vacancy/98951781,Wanted,Тестировщик,От 1 года до 3 лет,Полная занятость,Опыт от 2 лет. Знание методик тестирования. Умение создавать документацию по тестированию и проводить её ревью (тест-кейсы; чек-листы...,"Обнаружение, документирование и отслеживание дефектов, контроль их исправления. Управление процессом решения багов. Взаимодействие с разработчиками и <highlighttext>аналитиками</highlighttext> из других отделов..."
101037675,Помощник SEO-специалиста,Барнаул,50000.0,2024-06-03T05:41:09+0300,https://hh.ru/vacancy/101037675,CNCMagazine,"Менеджер по маркетингу, интернет-маркетолог",От 1 года до 3 лет,Полная занятость,Работали в CMS сайта (интернет-магазин). Умеете взаимодействовать с системами <highlighttext>аналитики</highlighttext> Google Analytics и Яндекс Метрика. Будет полезно знание программ...,"Написание шаблона описания товара для отдела контента на основе семантики, по возможности уникальные описания, с естественным вхождением запросов из семантики. "
97605774,Финансовый аналитик,Барнаул,75000.0,2024-05-30T07:47:39+0300,https://hh.ru/vacancy/97605774,Диво Алтая,"Финансовый аналитик, инвестиционный аналитик",От 1 года до 3 лет,Полная занятость,"Высшее экономическое образование. Отличные знания EXCEL, 1С УПП. Практические навыки в области расходования бюджета, анализ ФХД. Знание принципов сбора...","Анализ эффективности бизнес-процессов. Подготовка ежемесячной отчётности: БДР, ДДС. Участие в разработке краткосрочных и долгосрочных планов предприятия. Расчеты прайсов, себестоимости. "
96707548,Экономист-аналитик,Барнаул,50000.0,2024-05-06T04:56:57+0300,https://hh.ru/vacancy/96707548,Компания РОСА,Экономист,От 3 до 6 лет,Полная занятость,"Высшее экономическое образование. Отличные знания EXCEL, 1С УПП. Практические навыки в области расходования бюджета, анализ ФХД. Знание принципов сбора...","Анализ эффективности бизнес-процессов. Экономическое моделирование и прогнозирование. Подготовка ежемесячной отчётности: БДР, ДДС. Участие в разработке краткосрочных и долгосрочных планов..."
98774455,Аналитик-экономист,Барнаул,90000.0,2024-05-13T10:40:19+0300,https://hh.ru/vacancy/98774455,Мария-Ра,Экономист,От 1 года до 3 лет,Полная занятость,"Высшее образование. Уверенное владение Excel (формулы, сводные таблицы). Умение грамотно анализировать данные, находить закономерности и визуализировать полученные выводы.","Формирование регулярной аналитической отчетности. Анализ изменений, выявление причин отклонений, выявление взаимосвязей, структурный анализ. Разработка форм и дашбордов управленческой отчетности."
99533788,Аналитик,Барнаул,,2024-05-20T08:58:14+0300,https://hh.ru/vacancy/99533788,Фриматик,Аналитик,Нет опыта,Полная занятость,"Аналитический склад ума, умение структурировать данные и раскладывать сложное на простое. Аккуратность и системность при ведении проектной документации. ",...работы и всего проекта Заказчику. Тесное взаимодействие с командой на протяжении всего процесса разработки и контроль соответствия проекта требованиям <highlighttext>аналитики</highlighttext>.
100600294,Специалист по работе с ключевыми клиентами (дилерского направления),Барнаул,60000.0,2024-05-29T12:55:29+0300,https://hh.ru/vacancy/100600294,АКТО,Менеджер по работе с партнерами,От 1 года до 3 лет,Полная занятость,"Уверенный пользователь ПК (MС Office, 1C). Опыт работы в сфере СПК от 1 года или в качестве сметчика, а...","Предоставление необходимых пакетов документов по продукции компании для ключевых клиентов.. Взаимодействие с подразделениями компании (снабжение, производство, логистика). Ведение <highlighttext>аналитики</highlighttext> и..."
100707800,Журналист/PR специалист,Барнаул,30000.0,2024-05-30T12:40:48+0300,https://hh.ru/vacancy/100707800,Фонд помощи многодетным и малоимущим семьям ОБЛАКА,PR-менеджер,От 1 года до 3 лет,Полная занятость,"ВЛАДЕТЬ СЛОВОМ ОБЯЗАТЕЛЬНО! БЕЗ ОБЯЗАТЕЛЬНОГО ФИЛОЛОГИЧЕСКОГО ИЛИ ЖУРНАЛИСТКОГО ОБРАЗОВАНИЯ. — Высшее образование. — Опыт написания материалов, постов, публикаций. — Есть амбиции по росту...","Отчетность о проделанной работе, организация и участие в публичных отчетах фонда. — <highlighttext>Аналитика</highlighttext> проделанной работы. — Участие в благотворительных проектах фонда (внутрикорпоративные..."
